Name,File
Quot.induction_on₃,Mathlib.Data.Quot
EuclideanDomain.GCD.induction,Mathlib.Algebra.EuclideanDomain.Defs
MvPolynomial.induction_on_monomial,Mathlib.Algebra.MvPolynomial.Basic
BoxIntegral.Box.subbox_induction_on,Mathlib.Analysis.BoxIntegral.Partition.SubboxInduction
CoxeterSystem.simple_induction,Mathlib.GroupTheory.Coxeter.Basic
SetTheory.PGame.leftMoves_neg_cases,Mathlib.SetTheory.PGame.Algebra
NNRat.numDenCasesOn,Mathlib.Data.NNRat.Defs
Finset.induction_on_max_value,Mathlib.Data.Finset.Max
Quotient.hrecOn₂,Mathlib.Data.Quot
PFun.fixInduction',Mathlib.Data.PFun
Fintype.induction_empty_option,Mathlib.Data.Fintype.Option
QuotientGroup.induction_on,Mathlib.GroupTheory.Coset.Defs
Finset.induction_on,Mathlib.Data.Finset.Insert
AddCon.hrecOn₂,Mathlib.GroupTheory.Congruence.Defs
Submodule.span_induction,Mathlib.LinearAlgebra.Span.Defs
CategoryTheory.Quotient.induction,Mathlib.CategoryTheory.Quotient
Quot.recOnSubsingleton₂,Mathlib.Data.Quot
Sym2.recOnSubsingleton,Mathlib.Data.Sym.Sym2
Monoid.Coprod.induction_on',Mathlib.GroupTheory.Coprod.Basic
MeasureTheory.SimpleFunc.induction,Mathlib.MeasureTheory.Function.SimpleFunc
FreeMonoid.casesOn,Mathlib.Algebra.FreeMonoid.Basic
MvPFunctor.w_ind,Mathlib.Data.PFunctor.Multivariate.W
FinEnum.recEmptyOption,Mathlib.Data.FinEnum.Option
Subsemiring.closure_induction,Mathlib.Algebra.Ring.Subsemiring.Basic
